****************************************
Report : report_transformed_registers
Version: V-2023.12-SP5-3
Date   : Sat Oct 11 13:27:23 2025
****************************************

Legend:
C0p - constant 0 register preserved
C1p - constant 1 register preserved
C0r - constant 0 register removed
C1r - constant 1 register removed
ulp - preserved unloaded register
ulr - removed unloaded register
mrg - merged register
srh - shift register head
srf - shift register flop
mb  - multibit
mbd - multibit debanked
rep - replicated
inv - inverted
rtm - retimed


Register                                         Optimization   Device Type         Removal Reason      File name:Line number
------------------------------------------------------------------------------------------------------------------------


reg_files_inst/mem_reg[0][31]                    C0r            register            constant enable     {{/storage/e19129/projects/e19-co502-RV32IM-Pipeline-Implementation-Group1/cpu/ID_stage/reg_files/reg_files.v:14}{/storage/e19129/projects/e19-co502-RV32IM-Pipeline-Implementation-Group1/cpu/ID_stage/reg_files/reg_files.v:17}{/storage/e19129/projects/e19-co502-RV32IM-Pipeline-Implementation-Group1/cpu/ID_stage/reg_files/reg_files.v:51}}
reg_files_inst/mem_reg[0][30]                    C0r            register            constant enable     {{/storage/e19129/projects/e19-co502-RV32IM-Pipeline-Implementation-Group1/cpu/ID_stage/reg_files/reg_files.v:14}{/storage/e19129/projects/e19-co502-RV32IM-Pipeline-Implementation-Group1/cpu/ID_stage/reg_files/reg_files.v:17}{/storage/e19129/projects/e19-co502-RV32IM-Pipeline-Implementation-Group1/cpu/ID_stage/reg_files/reg_files.v:51}}
reg_files_inst/mem_reg[0][29]                    C0r            register            constant enable     {{/storage/e19129/projects/e19-co502-RV32IM-Pipeline-Implementation-Group1/cpu/ID_stage/reg_files/reg_files.v:14}{/storage/e19129/projects/e19-co502-RV32IM-Pipeline-Implementation-Group1/cpu/ID_stage/reg_files/reg_files.v:17}{/storage/e19129/projects/e19-co502-RV32IM-Pipeline-Implementation-Group1/cpu/ID_stage/reg_files/reg_files.v:51}}
reg_files_inst/mem_reg[0][28]                    C0r            register            constant enable     {{/storage/e19129/projects/e19-co502-RV32IM-Pipeline-Implementation-Group1/cpu/ID_stage/reg_files/reg_files.v:14}{/storage/e19129/projects/e19-co502-RV32IM-Pipeline-Implementation-Group1/cpu/ID_stage/reg_files/reg_files.v:17}{/storage/e19129/projects/e19-co502-RV32IM-Pipeline-Implementation-Group1/cpu/ID_stage/reg_files/reg_files.v:51}}
reg_files_inst/mem_reg[0][27]                    C0r            register            constant enable     {{/storage/e19129/projects/e19-co502-RV32IM-Pipeline-Implementation-Group1/cpu/ID_stage/reg_files/reg_files.v:14}{/storage/e19129/projects/e19-co502-RV32IM-Pipeline-Implementation-Group1/cpu/ID_stage/reg_files/reg_files.v:17}{/storage/e19129/projects/e19-co502-RV32IM-Pipeline-Implementation-Group1/cpu/ID_stage/reg_files/reg_files.v:51}}
reg_files_inst/mem_reg[0][26]                    C0r            register            constant enable     {{/storage/e19129/projects/e19-co502-RV32IM-Pipeline-Implementation-Group1/cpu/ID_stage/reg_files/reg_files.v:14}{/storage/e19129/projects/e19-co502-RV32IM-Pipeline-Implementation-Group1/cpu/ID_stage/reg_files/reg_files.v:17}{/storage/e19129/projects/e19-co502-RV32IM-Pipeline-Implementation-Group1/cpu/ID_stage/reg_files/reg_files.v:51}}
reg_files_inst/mem_reg[0][25]                    C0r            register            constant enable     {{/storage/e19129/projects/e19-co502-RV32IM-Pipeline-Implementation-Group1/cpu/ID_stage/reg_files/reg_files.v:14}{/storage/e19129/projects/e19-co502-RV32IM-Pipeline-Implementation-Group1/cpu/ID_stage/reg_files/reg_files.v:17}{/storage/e19129/projects/e19-co502-RV32IM-Pipeline-Implementation-Group1/cpu/ID_stage/reg_files/reg_files.v:51}}
